Smiles,Molecule_ID,pIC50
O=C(NC1CCC(O)CC1)[C@@H]1NC2(CCCCCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,71023095,7.806875402
CN1CCC(C(C)(O)c2cc(F)c3c(c2)C(=O)N(Cc2ccc(C#N)cn2)[C@@]3(OCC2(CO)CC2)c2ccc(Cl)cc2)CC1,135282603,7.337242168
CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(C#N)cn1)[C@@]2(O[C@H]1CC[C@@H](O)C1)c1ccc(Cl)cc1,137512983,7.337242168
CN(C)CC(C)(O)c1ccc2c(c1)C(=O)N(Cc1ccc(Cl)cc1)[C@@]2(OCC1(CO)CC1)c1ccc(Cl)cc1,135281744,7.337242168
CC(C)(O)c1ccc2c(c1)C(=O)N(Cc1ccc(Cl)cc1)[C@@]2(OCC1CCOC1)c1ccc(Cl)cc1,135281448,7.337242168
CN(O)C(=O)c1ccc(N2CC[C@H]3[C@@H](C2=O)[C@H](c2cccc(Cl)c2F)[C@]2(C(=O)Nc4cc(Cl)ccc42)N3CC2CC2)cc1,118636562,7.337242168
Cc1cc(N2CC[C@H]3[C@@H](C2=O)[C@H](c2cccc(Cl)c2F)[C@]2(C(=O)Nc4cc(Cl)ccc42)N3CC2CC2)cc(C)c1C(=O)O,118636525,7.337242168
CNc1nc(N[C@H](C)C2CCC2)c2c(n1)nc(N1CCOC[C@H]1c1ccccc1)n2C[C@H]1CC[C@H](C)CC1,134612386,7.337242168
C[C@@H](Nc1nc(S(C)(=O)=O)nc2nc(N3CCCCC3c3ccccc3)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,90325170,7.337242168
Cc1cc(OC(F)(F)F)ccc1-c1nc2nc(C(=O)O)nc(N[C@H](C)C3CCC3)c2n1Cc1ccc(C(F)(F)F)cc1,90320052,7.337242168
CCOc1cc(C(C)(C)C)ccc1C1=N[C@@](C)(c2ccc(Cl)cc2)[C@@](C)(c2ccc(Cl)cc2)N1C(=O)N1CCN(CCNS(C)(=O)=O)CC1,17754845,7.337242168
COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)Nc3cc(Cl)cnc32)[C@H]1c1cccc(Cl)c1F,56942232,7.337242168
CCc1ccc(O)c(-c2nc3nc(C(=O)O)nc(N[C@H](C)C4CCC4)c3n2Cc2ccc(C(F)(F)F)cc2)c1,77847631,7.33648753
C[C@H]1CC[C@H](Cn2c(N3CCOC[C@H]3c3ccccc3)nc3nc(-c4noc(=O)[nH]4)nc(C4CCOCC4)c32)CC1,134819554,7.331241458
CC(C)c1cccc(-c2nc3nc(C(=O)O)nc(N[C@H](C)C4CCC4)c3n2Cc2ccc(C(F)(F)F)cc2)n1,77847040,7.329012397
CC1OCCN(c2nc3nc(-c4n[nH]c(=O)o4)nc(N[C@H](C)C4CCC4)c3n2C[C@H]2CC[C@H](C)CC2)C1C,90325531,7.328271912
C[C@@H](Nc1nc(-c2noc(=O)[nH]2)nc2nc(N(C)CC3CCOCC3)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,134819319,7.32817944
C[C@H]1CC[C@H](Cn2cc(CCc3cccnc3)c3nc(C(=O)O)nc(-c4cncc(Cl)c4)c32)CC1,76684497,7.327902142
COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)Nc3cc(Cl)ncc32)[C@H]1c1cccc(Cl)c1F,56941947,7.327902142
CC(C)[C@@H](CS(=O)(=O)C(C)C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,58573469,7.327902142
CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(Cc2cc(C(=O)O)ccn2)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,90655372,7.327902142
CC(C)OCC1CCCN1c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,90684061,7.327902142
C[C@@H](Nc1nc(-c2noc(=O)[nH]2)nc2nc(C(C)(O)c3cccc(F)c3)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,134819635,7.327809749
CC[C@@H](C)Oc1cc2c(cc1OC)CC(=O)N(c1ccc(C(C)N3CCOCC3)cc1)C2c1ccc(Cl)cc1,58438032,7.326979093
CC[C@@H](C)Oc1cc2c(cc1OC)CC(=O)N(c1ccc(C(C)N(CC)C(=O)C3CCNCC3)cc1)C2c1ccc(Cl)cc1,58438260,7.326058001
CC(C)C[C@H]1COCCN1c1nc2nc(-c3noc(=O)[nH]3)nc(-c3cccc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,134819479,7.323580768
C[C@H]1CC[C@H](Cn2c(N3CCOC[C@H]3CO)nc3nc(-c4noc(=O)[nH]4)nc(-c4cccc(Cl)c4)c32)CC1,134819485,7.32330639
C[C@@H](Nc1nc(C(=O)O)nc2nc(CN(C)Cc3ccccc3)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,90317622,7.321208566
C[C@@H](Nc1nc(C(=O)O)nc2nc(-c3ncccc3C(F)(F)F)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,90325353,7.319664487
CC(C)CCN1[C@H]2COc3c4ccc(C(=O)O)cc4nn3[C@H]2[C@H](c2cccc(Cl)c2F)[C@]12C(=O)Nc1cc(Cl)ccc12,130376453,7.318758763
CO[C@]1(c2ccc(Cl)cc2)c2ccc(C(C)(O)CN3CCNC(=O)CC3)cc2C(=O)N1Cc1ccc(Cl)cn1,135282751,7.318758763
CO[C@]1(c2ccc(Cl)cc2)c2c(F)cc(C(C)(O)c3cnn(CCN(C)C)c3)cc2C(=O)N1Cc1ccc(Cl)cn1,137497966,7.318758763
CCOc1cccc(CN2[C@@H]3CCn4c(nc5cc(C(=O)O)ccc54)[C@@H]3[C@@H](c3cccc(Cl)c3F)[C@@]23C(=O)Nc2cc(Cl)ccc23)c1,129264197,7.318758763
CNC(=O)[C@@H]1NC2(CCCCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,71020635,7.318758763
CC(C)(C)CN1[C@H]2CCN(c3ccc(C(=O)O)cc3)C(=O)[C@H]2[C@H](c2cccc(Cl)c2F)[C@]12C(=O)Nc1cc(Cl)ccc12,118636523,7.318758763
