Smiles,ATSC7c,SdssC,ATSC6p,XLogP,VCH-6,GATS4c,CrippenLogP,ATSC8s,VCH-7,GATS6i,SpMax4_Bhv,GATS7i,ALogp2,ATSC5v,GATS4e,GGI5,ALogP,VE1_Dzp,minaaN,SpMin4_Bhm,minHBint6,ATSC3e,ATSC8i,ATSC6e,gmin,hmin,VR1_Dt,ATSC6v,ATSC1i,AATSC2m,VC-5,ATSC2i,ATSC3v,maxHBa,ETA_BetaP,maxHother,AATSC8s,GATS7c,BCUTp-1h,BCUTw-1h,GGI6,ATSC8v,MLFER_A,ATSC5e,ATSC7v,ATSC6c,GGI7,VR1_D,AATSC3i,GATS8c,Actual,Predicted,Set
CC(C)C[C@H](N[C@H](C(=O)NCc1ccccc1)c1c(C(=O)NO)[nH]c2cc(Cl)ccc12)C(=O)NO,0.042284406,-1.989555161,0.645582026,3.922,0.125882864,1.075939384,2.05019,-43.43733535,0.183998592,1.021281664,3.442349496,1.032769918,5.73889936,337.7326069,0.928852378,1.861666667,-2.3956,0.09559186,0.0,1.72118835,0.581508107,2.458242993,24.48733044,-0.55292838,-1.15005543,-0.033561477,266.5944729,-96.83330361,12.6403526,1.006513129,0.126073542,-6.206000211,-626.0701586,13.55309961,1.2,0.529145251,-0.20783414,1.190991461,12.3325153,34.96885423,1.303038549,-350.4699416,0.519,-1.614102063,-450.7734857,0.235073603,1.002657313,425.9230308,-0.076462008,1.065351856,8.920818754,7.9271485040875005,Train
C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,-0.003811439,0.465961827,-0.155487598,1.182,0.032075015,0.940908615,2.4711,-17.99013807,0.016037507,0.938905514,3.092324045,0.936225859,3.44362249,69.25984347,1.025117609,0.229166667,-1.8557,0.224707924,0.0,1.407429495,0.0,0.175993254,0.091277325,-0.956438935,-0.359425318,0.329513588,359.314506,-130.8051227,4.614977268,-3.386325359,0.0,-19.99121889,-104.5741164,11.59141463,0.97368,0.499357048,-0.315616457,0.927209631,8.66969355,16.00138511,0.182040816,-57.76107349,-0.088,-0.95698187,-138.5941146,0.041358791,0.074652778,167.4439349,-0.04203364,1.249783503,5.696803943,5.770076754359013,Train
C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,0.131972106,-0.640895193,-1.232247485,-2.193,0.109599744,1.034229834,-2.44422,-8.60617284,0.132498381,0.994210552,2.752874485,0.890478263,8.65242225,114.670412,1.078800653,0.670555556,-2.9415,0.117225642,0.0,1.107090939,3.205550016,0.62367668,-3.747648463,-0.15675636,-1.309931028,-0.043676304,114.6189301,-265.5569785,-9.872533801,-1.985560935,0.093957392,2.378439238,-218.3824375,11.51087065,0.97059,0.664542234,-0.344246914,0.837634439,9.52591944,15.99999874,0.268526077,-248.6904796,0.77,-0.48768896,-198.0539932,-0.067320629,0.174496882,108.5376445,-0.236292156,1.037202426,7.698970004,6.911536158825239,Train
CN1CCC2=C3[C@@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,0.055273958,5.686098592,-4.201973267,1.697,0.102679974,0.789520996,2.5088,-15.78256635,0.242966475,1.10031525,3.078332031,0.975625041,1.20406729,-122.9373575,0.805997504,0.75,1.0973,0.0742609,0.0,1.426475972,1.023305013,0.631863299,8.013735386,0.007108505,-0.037993433,-0.108682681,441.3748125,-897.5451885,1.48767831,2.415523923,0.209634507,20.03448762,-249.9288525,10.26032195,1.0875,0.547417446,-0.375775389,1.122116449,11.30821052,15.99826422,0.425306122,122.6196063,0.838,-0.106858121,-321.8061277,0.01547227,0.161458333,303.4256294,-0.020352196,1.845652069,6.756961951,6.225580545857431,Train
CC1=CC(=C(N1C2=CC=C(C=C2)Cl)C)C=C3C(=O)NC(=S)NC3=O,-0.088546285,5.533100474,2.276289808,1.696,0.142723831,0.709338985,2.32352,-14.98258787,0.223920457,0.89068453,3.081938981,0.838326613,5.57196025,-832.3272409,0.743990126,0.840833333,2.3605,0.018347685,0.0,1.566318209,1.073835767,-1.698532454,7.247283845,1.654051573,-0.328954457,0.015015037,242.0090731,552.0498919,-6.341514611,9.613741875,0.145590193,-13.83119767,-434.4152018,12.09479466,1.20833,0.584885498,-0.245616195,1.153161713,11.08106319,34.968854,0.814829932,-307.2059126,1.207,0.555014825,727.0194017,0.201770837,0.407986111,262.82781,0.085520164,1.210508264,6.142667504,5.898852400000458,Train
CC1=CC(=C(N1C2=CC=C(C=C2)Cl)C)/C=C/3\C(=O)NC(=S)N(C3=O)C4=CC=CC=C4,-0.069096893,6.356747551,0.966841835,2.734,0.17314927,0.943961253,4.76761,-19.86147957,0.240932988,0.946160719,3.523854241,0.868274182,11.00315241,-926.3516978,0.886881178,1.201944444,3.3171,0.020894802,0.0,1.620486405,0.963861157,-1.323368889,5.395275475,0.958732889,-0.335036751,-0.002130168,307.1355709,376.2083802,-11.55277504,7.005466179,0.208312405,-20.07144812,-150.1925807,13.26350214,1.24167,0.584885498,-0.223162692,1.315666714,12.03527849,34.96885427,1.076870748,-541.0115633,0.605,-0.108575444,765.6610949,0.215576799,0.570330215,287.7349415,0.069211724,1.212891534,5.48148606,5.529799294433943,Train
CC1=CC=C(C=C1)N2C(=CC(=C2C)/C=C/3\C(=O)NC(=S)N(C3=O)C4=CC=CC=C4)C,-0.111742708,6.104961844,0.002331698,2.76,0.17314927,0.902826411,4.19694,-23.71474383,0.237213726,0.916214046,3.527202943,0.877930859,11.52466704,-580.6580144,0.853694058,1.201944444,3.3948,0.029521235,0.0,1.639827258,0.956099062,-0.878078741,-22.67293717,0.733260699,-0.340444363,-0.001444297,307.1355709,194.0582619,-11.9691619,7.832223574,0.208312405,-14.8553723,-301.6750462,13.25895824,1.23333,0.585190329,-0.234799444,1.361993506,12.03459607,31.9720725,1.076870748,-1077.071321,0.605,-0.288489892,298.0589912,0.201878788,0.570330215,287.7349415,0.00307261,1.142438197,5.075720714,5.2845189598251,Train
C1=CC=C(C=C1)C2=CC(=C(N2C3=CC=C(C=C3)[N+](=O)[O-])C4=CC=CC=C4)C=C5C(=O)NC(=O)NC5=O,-0.132502681,1.503886337,-2.46911151,3.209,0.174598999,0.698078487,4.49567,-2.87943911,0.209672851,0.920844382,3.662260084,1.132955407,8.08037476,93.81688673,0.788084347,1.396944444,2.8426,0.310668754,0.0,1.770735013,1.223127178,-1.088007473,-73.99725448,1.826907204,-0.876057915,0.015258055,481.7873672,-908.5352599,4.417962239,-0.503801952,0.136993912,-8.400491352,-104.8292847,12.46859956,1.35417,0.672739198,-0.015821094,0.805960053,12.90899822,16.00646081,1.036099773,-655.3091191,1.604,-0.504628894,-701.9150315,0.048122039,0.924461451,7895.801762,-0.140517345,0.891879387,6.823908741,6.523786516875437,Train
CC1=CC(=NC=C1)NC(C2=C(C3=C(C=CC=N3)C=C2)O)C4=C(C=CS4)C,-0.12706718,7.465048205,-1.740116881,1.365,0.224854119,1.187102595,4.17953,5.237837389,0.215997039,1.110224735,3.348848364,0.922072466,1.01243844,783.273265,1.240441951,0.947777778,1.0062,0.303093395,0.0,1.566136401,0.0,0.27238029,-9.565299007,0.540491202,-1.219120137,0.070192298,187.160829,8.171778643,-0.249874881,2.81326407,0.216857379,4.018534112,-806.6651954,10.9568729,1.20192,0.597956836,0.048053554,1.217372935,13.10611943,31.97207228,0.636054422,-573.7498889,0.265,-0.67145293,-418.0838178,0.247550088,0.529513889,289.5244599,-0.333060257,0.826504147,5.698970004,5.790628720673768,Train
C1=CC=NC(=C1)NC(C2=C(C=C(C=C2)Cl)Cl)C3=C(C4=C(C=CC=N4)C=C3)O,-0.160386197,7.341306829,-0.727897374,1.791,0.091251368,1.200296671,6.26168,-4.687847709,0.146737009,1.036806637,3.366732866,0.958799465,6.79957776,352.6923245,1.150012071,1.125,2.6076,0.302075304,0.0,1.563831555,0.235299145,-0.245046,-8.679119089,1.145602667,-0.184534797,0.086955271,190.1473451,48.18701177,-1.108310337,-1.465809009,0.145988939,-11.42628013,-330.3715862,11.00325299,1.25,0.603669008,-0.04987072,1.167744504,12.52408696,34.9698549,0.650612245,-92.76356277,0.265,-0.866631556,-288.1302718,0.272851476,0.590277778,219.277622,-0.208331938,0.832270304,5.13076828,5.1935541373674265,Train
