Smiles,GGI8,SpMax4_Bhv,SpMax3_Bhm,SHssNH,nHssNH,nHBint6,C3SP3,minaaN,BCUTw-1h,ZMIC2,SpMax1_Bhm,SpMax2_Bhm,piPC3,GGI6,VCH-7,ATSC4i,AATS0m,GGI7,SdssC,AATS8v,SpMin8_Bhv,SpMax8_Bhv,ATS7s,VCH-6,GGI4,nF9Ring,MAXDP,GATS7e,GATS6m,GATS2v,minaaCH,maxHBa,nBase,R_TpiPCTPC,hmax,VC-5,ATSC6m,minHBint6,maxHBint4,MDEC-33,SaasC,VC-3,MDEC-13,BCUTp-1h,VPC-5,ATS0m,AATS7p,MDEO-11,ATSC1m,minwHBa,pIC50
CC1=C(C=CC2=C1N=C3N2CC[C@H]4[C@@H]3[C@@H]([C@]5(N4CC6CC6)C7=C(C=C(C=C7)Cl)NC5=O)C8=C(C(=CC=C8)Cl)F)C(=O)O,1.049453578,3.700156817,3.951872281,0.290341882,1.0,3.0,4.0,0.0,34.9698563,37.20515891,4.084224876,3.966003429,5.332718793,2.111746032,0.971374503,2.975346283,131.4625815,1.426445578,6.369561257,181.3437434,1.315068078,2.986391872,822.8024691,0.491391143,4.090555556,4.0,8.408892235,0.940781472,0.733536733,0.872875168,0.0,16.40889224,1.0,3.301943545,0.911924328,0.565995669,1002.882889,0.640009966,0.192180595,32.7977094,0.0,2.01619767,3.40477747,15.22043782,7.934985859,9070.918123,1.377758021,0.481411137,65.5634408,-0.975532704,8.397940009
CCOc1cccc(CN2[C@H]3COc4c5cc(C(=O)O)ccc5nn4[C@H]3[C@H](c3cccc(Cl)c3F)[C@]23C(=O)Nc2cc(Cl)ccc23)c1,1.245244394,3.796932924,3.98287039,0.320882664,1.0,4.0,2.0,4.968516571,34.96985677,41.29828436,4.128779982,4.034726766,5.564041365,2.346122449,0.744944038,-39.61451458,135.3465742,1.636515023,-1.265364224,207.6432721,1.359757619,3.110941553,941.8122428,0.400483178,4.166666667,4.0,8.584268498,1.023268876,0.724054238,0.839883983,1.518870737,16.5842685,1.0,4.998128006,1.017701326,0.484173846,1213.71161,0.98872,0.191488266,30.50194841,5.734010602,1.856825528,1.790302893,15.33776185,7.263026302,10015.64649,1.461959708,0.481411137,72.8489144,-1.05225762,8.397940009
CN(C)CCNC(=O)C1=CC2=C(C=C1)N3CC[C@H]4[C@@H](C3=N2)[C@@H]([C@]5(N4CC6CC6)C7=C(C=C(C=C7)Cl)NC5=O)C8=C(C(=CC=C8)Cl)F,1.033596309,3.699522333,3.942365404,0.629230483,2.0,3.0,4.0,0.0,34.96985664,39.10153428,4.083173448,3.963100011,5.332718793,2.198231293,0.947102468,18.81498424,119.1143592,1.438598356,7.316293087,184.7504572,1.438534659,3.119371916,901.3024691,0.496547827,3.854444444,4.0,8.514249035,1.215023469,0.744121852,0.851128546,0.0,16.51424903,2.0,3.287000693,0.90922371,0.508027526,1253.136531,0.640863064,0.18987745,29.06089175,0.0,2.232625499,2.833487398,15.20804008,7.661265802,9648.263095,1.372422642,0.090909091,143.8377743,-0.171835674,8.301029996
C1CN(C(=O)[C@H]2[C@@H]1N([C@]3([C@@H]2C4=C(C(=CC=C4)Cl)F)C5=C(C=C(C=C5)Cl)NC3=O)CC6CC6)C7=CC=C(C=C7)C(=O)O,0.780045351,3.700838411,3.868356222,0.306431997,1.0,4.0,4.0,0.0,34.96985622,41.26590917,4.075739081,3.960666085,5.214935758,2.067346939,0.837243201,7.76005063,134.1105954,1.328266723,2.995601327,179.5622435,1.290371559,2.971530221,826.5185185,0.439290404,3.868333333,2.0,8.201752316,0.991252239,0.747776832,0.938126756,0.0,16.20175232,1.0,2.833786642,0.93098297,0.489640256,1003.059462,0.521552592,0.19252207,24.73492332,0.0,1.851415998,0.0,15.08782458,7.023861443,8985.40989,1.354843032,0.866025404,43.35663032,-1.029172294,6.519993057
NC(=O)c1ccc2c3n(nc2c1)[C@@H]1[C@H](CO3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1ccnc(Cl)c1F,0.93255543,3.69845212,3.975905343,0.321932727,1.0,3.0,3.0,4.285523386,34.96985623,33.10061889,4.128022885,4.033943568,5.432083107,2.056190476,0.87103221,-32.33681613,141.0383375,1.323129252,-0.673439301,199.8012817,1.285229005,2.851598033,825.8261317,0.465631213,3.774444444,4.0,8.262459359,1.081478293,0.757077924,0.880368233,1.660410375,16.26245936,1.0,4.870960795,0.977904266,0.481629578,638.3788169,1.077195546,0.207102805,28.47392774,4.389515175,1.8514489,0.0,15.06648992,6.93417993,9026.453602,1.379152107,0.090909091,56.17493334,-0.539497179,7.886056648
C1CC1CN2[C@H]3COC4=C5C=C(C(=CC5=NN4[C@H]3[C@@H]([C@@]26C7=C(C=C(C=C7)Cl)NC6=O)C8=C(C(=CC=C8)Cl)F)F)C(=O)O,1.011180398,3.698053508,3.949701595,0.325856912,1.0,4.0,3.0,0.0,34.96985635,38.9375,4.081538171,3.964414726,5.323009979,2.091337868,0.884454191,-0.152313822,146.7846388,1.370039683,1.516907619,198.6683818,1.285229005,2.948488882,832.6872428,0.467830647,3.965555556,4.0,8.314403804,0.986366189,0.733022756,0.886489302,0.0,16.3144038,1.0,3.405669145,0.987514605,0.497884007,927.2508566,0.980679985,8.700999638,31.63352614,0.0,1.918447084,0.0,15.08420293,7.100012636,9394.216886,1.391264078,0.481411137,34.35194668,-1.3877665,7.886056648
C1CC(C1)CN2[C@H]3COC4=C5C=CC(=CC5=NN4[C@H]3[C@@H]([C@@]26C7=C(C=C(C=C7)Cl)NC6=O)C8=C(C(=CC=C8)Cl)F)C(=O)O,0.994551524,3.680668537,3.937399592,0.309779949,1.0,3.0,3.0,0.0,34.96985632,38.51163354,4.080023326,3.962303079,5.318119994,2.108526077,0.785858308,-24.19042573,137.0237295,1.378649376,4.602624899,192.5493139,1.280029667,2.913310417,873.159465,0.437255123,3.895555556,4.0,8.376070471,0.9969844,0.750044696,0.901229951,0.0,16.37607047,1.0,3.323055361,0.964077105,0.484173846,576.6289863,1.042491439,0.19869627,28.47392774,0.0,1.875057161,0.0,15.17560125,7.117961951,9180.589875,1.391278759,0.481411137,63.45106031,-1.031566541,7.698970004
O=C(O)c1ccc2c3n(nc2c1)[C@@H]1[C@H](CO3)N(CC2CCCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,1.024297682,3.674407722,3.982817401,0.301967449,1.0,3.0,3.0,4.947042601,34.9698564,39.59847329,4.128145248,4.034378653,5.453717266,2.219455782,0.761959193,-22.44259686,133.2412303,1.438562925,-1.153840511,187.0515109,1.339334415,2.915632481,926.659465,0.474767473,3.899444444,4.0,8.441070471,0.989155583,0.748675333,0.903767114,1.556774356,16.44107047,1.0,4.724298814,0.964077105,0.484173846,523.5892566,1.037596388,0.193300123,28.47392774,4.563401975,1.875057161,0.0,15.26628877,7.424148169,9326.886124,1.388694291,0.481411137,75.58638897,-1.030580348,7.431798276
COc1cccc(CCN2[C@H]3Cn4c(nc5cc(C(=O)O)ccc54)[C@H]3[C@H](c3cccc(Cl)c3F)[C@]23C(=O)Nc2cc(Cl)ccc23)c1,1.07997134,3.800019894,3.982976549,0.305234515,1.0,3.0,3.0,5.0509602,34.96985666,41.70125191,4.146782068,4.035556466,5.560200746,2.156598639,0.907900832,-46.16870425,133.6942259,1.657348356,-1.154494857,205.669109,1.436602823,3.048826967,800.6774691,0.492631428,4.062222222,2.0,8.488653815,0.853708029,0.765638204,0.826286573,1.600255329,16.48865382,1.0,5.042044957,0.952317452,0.506231696,1049.835402,0.655350178,0.190858462,30.07344107,6.619918437,1.89277861,1.877773182,15.16511377,7.680888375,9759.678487,1.515917974,0.481411137,63.24707748,-1.014609966,8.397940009
CC(C)(CNC(=O)C1=CC2=C(C=C1)N3CC[C@H]4[C@@H](C3=N2)[C@@H]([C@]5(N4CC6CC6)C7=C(C=C(C=C7)Cl)NC5=O)C8=C(C(=CC=C8)Cl)F)O,1.061295351,3.699585688,3.942529473,0.639664511,2.0,3.0,5.0,0.0,34.96985665,38.63130868,4.083177823,3.963119769,5.332718793,2.239047619,0.947102468,58.37145619,121.3377373,1.5080428,6.78563738,178.6083273,1.397907737,3.112210712,893.8858025,0.496547827,4.094444444,4.0,8.5042051,1.039029526,0.779732423,0.889673784,0.0,16.5042051,1.0,3.289951713,0.912695933,0.508027526,590.8453654,0.634195431,0.18762982,29.06089175,0.0,2.809785687,3.131770273,15.20835161,7.788491311,9707.018983,1.388850716,0.327308798,91.36775374,-0.272176223,8.15490196
